analysis,mass,intensity
20240815_67_BVCZ_1,148073.609375,4278.69352809994
20240815_67_BVCZ_1,148073.734375,4313.3663445097
20240815_67_BVCZ_1,148073.796875,4305.23417099813
20240815_67_BVCZ_1,148074.03125,4282.14345176341
20240815_67_BVCZ_1,148074.328125,4324.36755596089
20240815_67_BVCZ_1,148074.53125,4304.45237323761
20240815_67_BVCZ_1,148074.65625,4361.92392415965
20240815_67_BVCZ_1,148074.75,4376.836939727
20240815_67_BVCZ_1,148075.296875,4385.53598248372
20240815_67_BVCZ_1,148075.4375,4420.30442371567
20240815_67_BVCZ_1,148075.59375,4426.60962346548
20240815_67_BVCZ_1,148075.671875,4485.39454846917
20240815_67_BVCZ_1,148075.9375,4485.77219495256
20240815_67_BVCZ_1,148076.25,4519.12536617298
20240815_67_BVCZ_1,148076.359375,4550.34777590191
20240815_67_BVCZ_1,148076.515625,4570.47701150647
20240815_67_BVCZ_1,148076.609375,4613.9678210033
20240815_67_BVCZ_1,148076.890625,4636.38056781558
20240815_67_BVCZ_1,148077.1875,4669.2242062003
20240815_67_BVCZ_1,148077.28125,4706.87857619613
20240815_67_BVCZ_1,148077.4375,4724.53052512826
20240815_67_BVCZ_1,148077.546875,4734.6604769328
20240815_67_BVCZ_1,148077.828125,4754.53931748606
20240815_67_BVCZ_1,148078.15625,4795.61792072069
20240815_67_BVCZ_1,148078.1875,4874.46698650227
20240815_67_BVCZ_1,148078.359375,4916.99460166288
20240815_67_BVCZ_1,148078.484375,4968.45960336844
20240815_67_BVCZ_1,148078.78125,4967.82065554424
20240815_67_BVCZ_1,148079.109375,5007.78801592685
20240815_67_BVCZ_1,148079.109375,5088.412604054
20240815_67_BVCZ_1,148079.28125,5138.87737979165
20240815_67_BVCZ_1,148079.421875,5176.26399323495
20240815_67_BVCZ_1,148079.71875,5185.87866161421
20240815_67_BVCZ_1,148080.03125,5204.20392626566
20240815_67_BVCZ_1,148080.0625,5250.69186717512
20240815_67_BVCZ_1,148080.203125,5292.60871925362
20240815_67_BVCZ_1,148080.359375,5306.92110980552
20240815_67_BVCZ_1,148080.671875,5404.39788104224
20240815_67_BVCZ_1,148080.953125,5382.93109170491
20240815_67_BVCZ_1,148081.015625,5430.74571407246
20240815_67_BVCZ_1,148081.140625,5464.86050615661
20240815_67_BVCZ_1,148081.296875,5435.11344958171
20240815_67_BVCZ_1,148081.609375,5522.44512723977
20240815_67_BVCZ_1,148081.875,5478.99034285879
20240815_67_BVCZ_1,148081.96875,5516.75414803321
20240815_67_BVCZ_1,148082.0625,5554.35138857958
20240815_67_BVCZ_1,148082.21875,5540.55712186099
20240815_67_BVCZ_1,148082.546875,5608.59188831353
20240815_67_BVCZ_1,148082.78125,5593.03856819828
20240815_67_BVCZ_1,148082.9375,5582.30339865519
20240815_67_BVCZ_1,148083,5651.96600939678
20240815_67_BVCZ_1,148083.171875,5649.58868278253
20240815_67_BVCZ_1,148083.5,5662.78191749126
20240815_67_BVCZ_1,148083.703125,5647.30126784559
20240815_67_BVCZ_1,148083.890625,5651.06392528654
20240815_67_BVCZ_1,148083.921875,5707.12617987785
20240815_67_BVCZ_1,148084.109375,5701.51690347348
