RT,PET_mz105_signal_1,PET_mz105_signal_2
15.6135,58032.000,10125.000
15.61831667,58176.000,9323.000
15.62313333,61296.000,9156.000
15.62795,62816.000,7595.000
15.63276667,62208.000,7017.000
15.63758333,63040.000,7080.000
15.6424,70688.000,6117.000
15.64721667,69272.000,5165.000
15.65203333,74888.000,5161.000
15.65685,80688.000,5649.000
15.66166667,85528.000,4912.000
15.66648333,91912.000,5374.000
15.67128333,93336.000,5328.000
15.6761,99072.000,5138.000
15.68091667,99392.000,5414.000
15.68573333,97920.000,5917.000
15.69055,92104.000,5171.000
15.69536667,86712.000,6190.000
15.70018333,80224.000,7466.000
15.705,79224.000,8807.000
15.70981667,70024.000,10466.000
15.71463333,67984.000,12979.000
15.71945,64072.000,12943.000
15.72426667,61992.000,13741.000
15.72908333,63144.000,12990.000
15.73388333,62896.000,12477.000
15.7387,67304.000,11586.000
15.74351667,70976.000,9721.000
15.74833333,71688.000,8498.000
15.75315,76520.000,6645.000
15.75796667,78488.000,6219.000
15.76278333,77224.000,4406.000
15.7676,80120.000,5109.000
15.77241667,85232.000,4587.000
15.77723333,84984.000,4272.000
15.78205,90048.000,4919.000
15.78686667,94088.000,4808.000
15.79168333,99664.000,4605.000
15.79648333,104392.000,4455.000
15.8013,108240.000,5628.000
15.80611667,117336.000,4947.000
15.81093333,123736.000,5586.000
15.81575,128176.000,5406.000
15.82056667,131648.000,5467.000
15.82538333,136384.000,5990.000
15.8302,141888.000,5938.000
15.83501667,149568.000,6275.000
15.83983333,153152.000,6543.000
15.84465,162560.000,6276.000
15.84946667,169728.000,5508.000
15.85428333,182528.000,5172.000
15.85908333,189824.000,5090.000
15.8639,197056.000,4652.000
15.86871667,210112.000,5214.000
15.87353333,211520.000,4635.000
15.87835,196672.000,4740.000
15.88316667,155264.000,4442.000
15.88798333,108368.000,4340.000
15.8928,85136.000,4826.000
15.89761667,74528.000,4350.000
15.90243333,68040.000,4555.000
15.90725,62544.000,4654.000
15.91206667,62776.000,4762.000
15.91688333,60256.000,5160.000
15.92168333,60752.000,4429.000
15.9265,58656.000,4330.000
15.93131667,56328.000,4125.000
15.93613333,56528.000,5430.000
15.94095,57808.000,5680.000
15.94576667,57088.000,5413.000
15.95058333,56776.000,5401.000
15.9554,56040.000,5260.000
15.96021667,55272.000,4943.000
15.96503333,54096.000,4699.000
15.96985,50584.000,4677.000
15.97466667,50184.000,4681.000
15.97948333,50696.000,4349.000
15.98428333,51432.000,4180.000
15.9891,50000.000,4199.000
15.99391667,55992.000,4034.000
15.99873333,57632.000,4163.000
16.00355,58936.000,4044.000
16.00836667,63296.000,4901.000
16.01318333,63248.000,4742.000
16.018,61712.000,4502.000
16.02281667,61296.000,4471.000
16.02763333,57704.000,4537.000
16.03245,54432.000,4308.000
16.03726667,49488.000,4245.000
16.04208333,45600.000,3876.000
16.04688333,40512.000,4389.000
16.0517,39920.000,4039.000
